time;codice;risposta
19:41:34.634;G1 X67.595 Y115.099 E29.40659;ok
19:41:34.703;G1 X66.402 Y113.221 E29.47263;ok
19:41:34.707;G1 X65.554 Y111.651 E29.52561;ok
19:41:34.767;G1 X64.866 Y110.005 E29.57860;ok
19:41:34.835;G1 X64.163 Y107.817 E29.64683;ok
19:41:34.904;G1 X63.754 Y105.867 E29.70600;ok
19:41:35.024;G1 X63.363 Y102.209 E29.81523;ok
19:41:35.192;G1 X63.293 Y100.676 E29.86078;ok
19:41:35.340;G1 X63.357 Y98.309 E29.93108;ok
19:41:35.341;G1 X63.726 Y95.561 E30.01342;ok
19:41:35.468;G1 X64.976 Y90.839 E30.15843;ok
19:41:35.521;G1 X66.090 Y87.940 E30.25066;ok
19:41:35.601;M105;ok T:220.6 /220.0 B:70.1 /70.0 T0:220.6 /220.0 @:32 B@:55
19:41:35.602;G1 X66.983 Y86.135 E30.31044;ok
19:41:35.667;G1 X68.074 Y84.442 E30.37023;ok
19:41:35.747;G1 X70.629 Y81.118 E30.49473;ok
19:41:35.812;G1 X71.839 Y79.827 E30.54727;ok
19:41:35.923;M204 S1000;ok
19:41:36.081;G1 X72.230 Y79.933 F9000.000;ok
19:41:36.081;M204 S500;ok
19:41:36.146;G1 F1800.000;ok
19:41:36.146;G1 X73.690 Y78.684 E30.60431;ok
19:41:36.221;G1 X75.359 Y77.556 E30.66411;ok
19:41:36.276;G1 X78.584 Y75.772 E30.77354;ok
19:41:36.280;G1 X80.317 Y75.017 E30.82967;ok
19:41:36.339;G1 X82.121 Y74.454 E30.88579;ok
19:41:36.416;G1 X83.812 Y74.112 E30.93701;ok
19:41:36.482;G1 X85.518 Y73.939 E30.98793;ok
19:41:36.605;G1 X92.461 Y73.915 E31.19406;ok
19:41:36.657;G1 X94.994 Y74.101 E31.26948;ok
19:41:36.736;M105;ok T:220.2 /220.0 B:70.1 /70.0 T0:220.2 /220.0 @:42 B@:54
19:41:36.828;G1 X97.473 Y74.651 E31.34489;ok
19:41:36.993;G1 X100.732 Y75.797 E31.44747;ok
19:41:36.998;G1 X104.281 Y77.457 E31.56378;ok
19:41:37.096;G1 X106.109 Y78.643 E31.62848;ok
19:41:37.163;G1 X107.776 Y80.047 E31.69318;ok
19:41:37.230;G1 X111.176 Y83.741 E31.84226;ok
19:41:37.369;G1 X112.241 Y85.059 E31.89257;ok
19:41:37.431;G1 X113.419 Y86.905 E31.95757;ok
19:41:37.451;G1 X114.837 Y89.750 E32.05197;ok
19:41:37.535;G1 X115.557 Y91.697 E32.11361;ok
19:41:37.603;G1 X116.041 Y93.716 E32.17525;ok
19:41:37.725;G1 X116.305 Y96.263 E32.25127;ok
19:41:37.788;M105;ok T:220.8 /220.0 B:69.9 /70.0 T0:220.8 /220.0 @:33 B@:77
19:41:37.853;G1 X116.312 Y102.813 E32.44574;ok
19:41:37.911;G1 X116.226 Y104.463 E32.49482;ok
19:41:37.916;G1 X115.983 Y106.109 E32.54420;ok
19:41:37.968;G1 X115.459 Y108.128 E32.60615;ok
